0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
16343363,16338797,16343664,16348608,16352187,16337174,16474032,16393382,16342117,16492542,16402431,16395676,16407845,16384356,16405644,16435124,16441174,16476063,16505175,16465396,16500667
16343387,16340222,16344023,16349237,16353481,16338636,16476382,16399151,16342758,16494232,16404825,16397195,16409354,16391884,16407209,16435992,16444785,16476090,16506142,16467137,16501634
16345621,16340951,16344873,16350584,16353556,16339162,16479367,16399595,16343954,16495840,16405199,16398831,16412930,16398238,16408412,16437465,16448571,16476553,16506786,16468647,16502568
16346253,16341572,16350913,16351839,16354582,16340018,16482197,16400340,16346682,16496578,16405460,16400754,16414047,16401503,16408941,16437513,16450112,16479158,16508847,16470233,16502595
16347837,16342649,16351365,16353227,16355015,16342358,16483400,16401997,16346865,16498230,16405703,16403919,16414184,16403585,16410949,16439070,16451057,16481574,16510225,16470944,16503732
16348261,16342811,16351711,16355002,16358794,16345997,16485557,16403820,16346938,16500577,16405774,16408877,16416933,16404020,16413358,16439095,16451515,16481761,16513171,16471268,16504325
16349592,16347685,16351924,16355751,16363356,16346306,16487687,16410138,16348783,16501364,16407143,16409237,16417386,16404654,16413427,16441519,16453984,16482161,16513330,16473140,16505688
16350661,16348416,16352976,16356078,16364033,16346799,16487793,16411044,16352119,16501693,16407616,16410536,16422110,16407305,16415234,16445545,16454807,16482661,16513340,16477200,16508380
16350719,16349038,16353231,16356182,16364196,16347023,16489166,16412189,16353276,16502807,16407917,16423999,16422797,16407919,16418674,16446849,16455136,16483260,16513454,16477590,16510655
16353029,16349460,16356696,16357507,16365871,16348076,16492374,16413019,16353701,16503835,16408143,16426587,16422966,16410900,16420132,16447272,16455769,16483750,16513466,16478485,16510911
16356863,16349635,16360037,16357742,16366102,16349155,16493762,16416531,16356720,16504484,16408693,16426960,16424102,16412796,16420252,16453394,16456704,16484644,16517954,16480984,16511070
16358118,16350297,16362164,16358036,16366181,16350487,16494729,16417263,16358019,16504796,16410866,16428934,16424271,16413505,16423338,16455608,16456999,16487434,16520335,16486058,16512373
16359035,16351741,16364574,16358475,16367734,16352367,16496174,16418892,16358807,16505613,16411586,16429670,16425026,16415709,16424522,16455714,16457776,16487709,16521046,16486303,16512860
16359626,16353376,16365851,16359112,16368297,16353420,16497499,16419890,16362548,16507406,16412410,16431938,16425808,16420395,16427425,16459019,16457841,16490082,16521452,16487344,16513540
16360673,16353689,16367400,16360048,16368518,16357209,16498328,16420301,16363067,16507532,16414225,16436203,16425860,16421513,16427665,16464461,16459632,16490253,16526472,16487550,16513707
16361886,16356149,16368801,16360410,16371199,16358846,16498345,16423720,16363078,16508676,16414811,16438306,16426917,16423396,16428243,16470022,16460195,16490297,16527402,16487915,16514362
16363187,16358151,16369393,16360833,16371261,16359086,16498562,16425023,16364056,16508851,16415072,16439019,16428081,16424096,16432263,16475274,16462682,16490594,16527418,16488982,16514964
16363259,16358418,16372264,16362113,16371572,16359655,16499332,16425164,16364978,16509264,16415314,16439393,16428118,16425402,16435274,16475511,16463792,16491167,16527485,16489760,16517417
16363909,16358468,16373745,16362187,16372307,16362922,16500759,16425250,16365176,16511581,16417722,16441120,16428771,16426360,16435377,16478957,16469708,16492173,16528951,16493474,16521206
16366776,16361486,16374793,16364194,16372351,16364038,16501863,16426231,16366692,16513072,16418576,16442187,16428776,16427220,16436910,16480336,16469793,16492543,16529138,16495032,16522023
16366817,16362131,16377780,16365267,16373040,16364392,16503208,16427880,16367772,16513634,16419740,16444147,16429244,16429946,16436936,16481844,16471380,16498749,16529631,16498487,16523827
16367371,16362928,16378626,16365305,16373473,16365239,16504633,16428408,16368382,16516099,16420247,16444849,16429778,16435244,16438007,16482712,16472267,16499831,16530912,16500897,16524330
16368211,16363240,16379282,16365703,16378440,16367572,16504833,16429782,16371503,16516439,16422860,16446436,16431465,16436730,16445951,16486189,16473229,16500614,16534738,16506372,16525868
16369319,16363411,16380189,16367418,16379440,16367901,16505032,16430520,16372845,16516461,16424228,16448358,16434004,16436900,16445980,16487869,16473568,16501189,16535142,16506373,16530545
16369905,16364763,16380728,16368106,16379511,16369497,16505729,16430878,16374445,16516776,16426191,16452741,16434149,16440286,16446471,16489177,16473718,16502734,16535598,16507031,16530726
16371712,16364862,16381262,16368608,16380802,16370920,16507149,16431006,16374811,16518889,16428982,16453914,16434443,16442384,16446564,16492306,16474217,16502841,16537254,16507278,16531228
16372367,16365367,16382797,16369608,16381048,16371878,16507685,16431115,16374822,16519200,16430247,16456839,16434987,16442971,16447640,16492890,16474339,16503518,16537406,16508902,16532435
16373527,16366058,16383108,16370653,16381300,16372645,16508553,16433343,16377801,16519842,16430666,16456855,16436340,16443509,16449855,16495651,16474721,16507430,16538953,16510579,16533790
16375194,16366909,16383548,16371237,16381950,16374842,16511308,16433383,16377834,16520120,16431421,16457094,16439278,16445682,16451863,16498367,16476208,16507602,16539077,16514369,16534348
16376438,16367402,16384037,16371688,16384039,16375462,16512080,16433611,16378053,16521916,16431850,16458056,16439339,16445943,16453700,16498941,16477103,16511403,16540573,16514415,16535492
