0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log,,,0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log
16593545,16776495,16873793,16853081,17102744,16852058,17033109,17232935,16899892,17251355,17027571,16979668,17886692,17352324,17853239,17893043,17821728,17847186,17921886,17883038,17961238,,,16593545,16776495,16873793,16853081,17102744,16852058,17033109,17232935,16899892,17251355,17027571,16979668,17886692,17352324,17853239,17893043,17821728,17847186,17921886,17883038,17961238
16595378,16798822,16886858,16855199,17125990,16857882,17038235,17240137,16902668,17262595,17030336,17010891,17888563,17410953,17872586,17895431,17822358,17848945,17924920,17883715,17961583,,,16595378,16798822,16886858,16855199,17125990,16857882,17038235,17240137,16902668,17262595,17030336,17010891,17888563,17410953,17872586,17895431,17822358,17848945,17924920,17883715,17961583
16597257,16800283,16888242,16867818,17131596,16863036,17057077,17255920,16907063,17267274,17038855,17024787,17891815,17412933,17878038,17895827,17835252,17850808,17925009,17885229,17964086,,,16597257,16800283,16888242,16867818,17131596,16863036,17057077,17255920,16907063,17267274,17038855,17024787,17891815,17412933,17878038,17895827,17835252,17850808,17925009,17885229,17964086
16598398,16802138,16895609,16869980,17148921,16865518,17060201,17272440,16908901,17269186,17043658,17028562,17893763,17421265,17879549,17896185,17841771,17850947,17926544,17890639,17971624,,,16598398,16802138,16895609,16869980,17148921,16865518,17060201,17272440,16908901,17269186,17043658,17028562,17893763,17421265,17879549,17896185,17841771,17850947,17926544,17890639,17971624
16598505,16802433,16896191,16875128,17153101,16878288,17095245,17468891,16917582,17272923,17049227,17030937,17896663,17434919,17881888,17897249,17867127,17853061,17927985,17891084,17974508,,,16598505,16802433,16896191,16875128,17153101,16878288,17095245,17468891,16917582,17272923,17049227,17030937,17896663,17434919,17881888,17897249,17867127,17853061,17927985,17891084,17974508
16598783,16815333,16898903,16884014,17157603,16878883,17117281,17656096,16925026,17288384,17071509,17033449,17896883,17458992,17883621,17898966,17874438,17868213,17929749,17894693,17976378,,,16598783,16815333,16898903,16884014,17157603,16878883,17117281,17656096,16925026,17288384,17071509,17033449,17896883,17458992,17883621,17898966,17874438,17868213,17929749,17894693,17976378
16599177,16825256,16900522,16886962,17165958,16883778,17121530,17796918,16935470,17292081,17075544,17035074,17896902,17462140,17887069,17900635,17878271,17870947,17932357,17894966,17977112,,,16599177,16825256,16900522,16886962,17165958,16883778,17121530,17796918,16935470,17292081,17075544,17035074,17896902,17462140,17887069,17900635,17878271,17870947,17932357,17894966,17977112
16599253,16830233,16907419,16890238,17172211,16887785,17123345,17812072,16958506,17383809,17089608,17056633,17898089,17463048,17887597,17902109,17881816,17871619,17942843,17895160,18002736,,,16599253,16830233,16907419,16890238,17172211,16887785,17123345,17812072,16958506,17383809,17089608,17056633,17898089,17463048,17887597,17902109,17881816,17871619,17942843,17895160,18002736
16599639,16837341,16915194,16897363,17172298,16890276,17127443,17822821,16959159,17426264,17116229,17057016,17900261,17471975,17889186,17907546,17891066,17873192,17945516,17900421,18013877,,,16599639,16837341,16915194,16897363,17172298,16890276,17127443,17822821,16959159,17426264,17116229,17057016,17900261,17471975,17889186,17907546,17891066,17873192,17945516,17900421,18013877
16599898,16838773,16917851,16898292,17174608,16893664,17130338,17827385,16966151,17545449,17137231,17067330,17900438,17519642,17889685,17908185,17893603,17873833,17949286,17900622,18029076,,,16599898,16838773,16917851,16898292,17174608,16893664,17130338,17827385,16966151,17545449,17137231,17067330,17900438,17519642,17889685,17908185,17893603,17873833,17949286,17900622,18029076
16603940,16839969,16917852,16900093,17177649,16901995,17140313,17834690,16967866,17731874,17140749,17088255,17902683,17788167,17889689,17908451,17897417,17874427,17952152,17901570,18038100,,,16603940,16839969,16917852,16900093,17177649,16901995,17140313,17834690,16967866,17731874,17140749,17088255,17902683,17788167,17889689,17908451,17897417,17874427,17952152,17901570,18038100
16609991,16841870,16920445,16908161,17182670,16907901,17141527,17841892,16968445,17760311,17162383,17096580,17902824,17794584,17891153,17909326,17898290,17877218,17952520,17903815,18038275,,,16609991,16841870,16920445,16908161,17182670,16907901,17141527,17841892,16968445,17760311,17162383,17096580,17902824,17794584,17891153,17909326,17898290,17877218,17952520,17903815,18038275
16610089,16842956,16931338,16912817,17187906,16916946,17165784,17844993,16971095,17802919,17194149,17118691,17905126,17820248,17892056,17911447,17899118,17880675,17952915,17904708,18040239,,,16610089,16842956,16931338,16912817,17187906,16916946,17165784,17844993,16971095,17802919,17194149,17118691,17905126,17820248,17892056,17911447,17899118,17880675,17952915,17904708,18040239
16612976,16844655,16932001,16914992,17188510,16921436,17167718,17853105,16973824,17836343,17224117,17151761,17905971,17829358,17893704,17913133,17899488,17886215,17954080,17905426,18044467,,,16612976,16844655,16932001,16914992,17188510,16921436,17167718,17853105,16973824,17836343,17224117,17151761,17905971,17829358,17893704,17913133,17899488,17886215,17954080,17905426,18044467
16615442,16847395,16933015,16920609,17195723,16921502,17207786,17859229,16975297,17837862,17245342,17156876,17906460,17830460,17897031,17917154,17900791,17887187,17957225,17906523,18045335,,,16615442,16847395,16933015,16920609,17195723,16921502,17207786,17859229,16975297,17837862,17245342,17156876,17906460,17830460,17897031,17917154,17900791,17887187,17957225,17906523,18045335
16615503,16850715,16937782,16921276,17210837,16923095,17214126,17873646,16980701,17841151,17270506,17165795,17906862,17830760,17897906,17918645,17901250,17891617,17958347,17907645,18045968,,,16615503,16850715,16937782,16921276,17210837,16923095,17214126,17873646,16980701,17841151,17270506,17165795,17906862,17830760,17897906,17918645,17901250,17891617,17958347,17907645,18045968
16621593,16857830,16938357,16922184,17218756,16934457,17265961,17875357,16980903,17847306,17301995,17180810,17907509,17832713,17898742,17921563,17901893,17893302,17976339,17911361,18049859,,,16621593,16857830,16938357,16922184,17218756,16934457,17265961,17875357,16980903,17847306,17301995,17180810,17907509,17832713,17898742,17921563,17901893,17893302,17976339,17911361,18049859
16622986,16858543,16943832,16927904,17220934,16936069,17286004,17877048,16981485,17851764,17361456,17186640,17908507,17839647,17899517,17922222,17904751,17895605,17977479,17916847,18075153,,,16622986,16858543,16943832,16927904,17220934,16936069,17286004,17877048,16981485,17851764,17361456,17186640,17908507,17839647,17899517,17922222,17904751,17895605,17977479,17916847,18075153
