0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log,avg,,0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
23623461,23700976,23230789,23528886,23425910,23476681,23389202,23430383,23310395,23325158,23392215,23385068,23404064,23401221,23346152,23407963,23414866,23379891,23423527,23426832,23388171,23419610.05,,26351056,26402644,26466906,26683302,26650329,27876590,27058692,26682079,26888067,27055441,27008313,27915276,27321965,27120271,27748216,27591634,27821107,27481701,27654245,27719984,27757848
23671047,23712597,23231160,23544124,23450248,23477164,23394315,23440430,23338426,23331761,23402005,23397928,23411839,23403062,23353583,23408300,23433007,23386602,23455984,23427913,23394668,23431722.05,,26355487,26418991,26484844,26813122,26749191,27877917,27088403,26701634,26993742,27474928,27052426,27932143,27403727,27142993,27765731,27635750,27891433,27490288,27746105,27811212,27791168
23687599,23714175,23261363,23549570,23456811,23479190,23399317,23441782,23342048,23341592,23412725,23402191,23416242,23403326,23354348,23412196,23433199,23387192,23470436,23438150,23394682,23438006.38,,26356751,26439328,26570687,26824961,26750856,27888698,27169798,26730651,27142504,27552631,27112433,27960238,27426762,27166822,27893121,27640801,27936512,27494652,27784764,27920038,27795303
23691763,23719745,23274414,23589823,23476066,23510685,23405931,23447483,23345685,23346651,23430652,23405131,23417669,23410219,23355273,23416666,23435266,23412149,23477997,23446659,23394817,23448130.67,,26373906,26454113,26703072,26830333,26796904,27922290,27250596,26730669,27282427,27621218,27278667,28011253,27516577,27290829,27912094,27641346,27972192,27522245,27835327,27942062,27808049
23714002,23734513,23293791,23599391,23486299,23518772,23407896,23449363,23359154,23348582,23445663,23417008,23430991,23425247,23361080,23419132,23440443,23417626,23487006,23448259,23405397,23457600.71,,26430439,26597017,26762478,26864947,26812448,27924146,27352476,26766554,27322606,27643182,27353358,28016640,27631613,27315682,27913350,27648268,27977409,27559679,27882387,27974103,27864174
23717541,23766146,23294632,23613432,23486324,23523666,23424459,23496412,23366446,23356614,23460340,23432470,23441303,23431626,23373388,23421634,23456003,23419050,23487309,23467371,23406042,23468676.57,,26432096,26637420,26766338,26870784,26877744,27928453,27366662,26789204,27323719,27764646,27365515,28043948,27727160,27317480,27966425,27658847,28011695,27604825,27915589,28014277,27877963
23720881,23784893,23327339,23616866,23490193,23537030,23436012,23505964,23379377,23359053,23463569,23438549,23458163,23440947,23376051,23428765,23456770,23423692,23510036,23472461,23411887,23478023.71,,26450528,26846520,26830366,26905072,26977560,27930623,27403077,26795232,27358117,27788206,27371340,28049612,27787651,27484075,28012299,27694391,28051576,27710421,27917797,28043370,27894000
23721169,23797320,23334117,23618887,23515793,23537434,23448861,23527749,23385751,23382901,23474417,23448081,23462893,23449068,23382803,23430888,23458569,23424631,23520932,23480472,23429280,23487238.86,,26468025,26873111,26848284,26957433,27029173,27936950,27445173,26806821,27379915,27850717,27375076,28060871,27790354,27592553,28034401,27747771,28072710,27716754,27923409,28049924,27900691
23741498,23800045,23344968,23621669,23532827,23557981,23449282,23529237,23423435,23417726,23486778,23478095,23464506,23477319,23391862,23439256,23476305,23428993,23529993,23507554,23468398,23503225.1,,26478169,26922106,26966440,26980476,27031849,27980884,27528426,26824414,27460002,27897712,27447739,28086895,27819676,27611149,28087530,27801713,28102188,27831590,27938832,28103865,27917763
23743117,23808135,23391674,23642475,23542188,23563535,23449359,23537392,23425635,23418843,23495438,23488033,23471127,23486319,23404028,23445909,23477529,23438536,23545687,23530213,23470043,23513105.48,,26528614,26930505,26981223,27189005,27118070,27988845,27821947,26838093,27465829,27900910,27500470,28091472,27846708,27687652,28098086,27841674,28107201,27869150,27953845,28108363,27918575
23763505,23811070,23394355,23661107,23542684,23566746,23450971,23561121,23452581,23450568,23499898,23489964,23478432,23489658,23419517,23460108,23486959,23442553,23551541,23536181,23478677,23523247.43,,26581725,26933791,27008899,27205039,27156069,28015679,27825635,26867957,27600252,27929037,27519902,28097113,27878868,27805431,28103469,27844222,28110491,27881963,27966855,28117682,27930490
23790940,23813412,23398550,23665680,23550824,23580500,23466975,23563149,23455082,23452208,23502310,23496803,23487694,23491018,23421247,23462346,23489776,23448580,23562065,23541592,23481356,23529624.14,,26598386,26942622,27023917,27223848,27262761,28019442,27871112,26875667,27626311,27930454,27739364,28104983,27950541,27833775,28142319,27864627,28113844,27887624,27976109,28124325,27963726
23793663,23824232,23407840,23675110,23575381,23580518,23474198,23572944,23472330,23455707,23537026,23497938,23494855,23495103,23422824,23471442,23492529,23465809,23566710,23543525,23485678,23538350.57,,26631586,26959091,27274794,27315969,27302096,28032166,27898612,26928420,27843780,27959554,27772659,28108386,27977093,27839845,28152409,27883550,28117731,27889748,28014978,28139681,27982003
23804945,23847809,23410393,23682230,23579208,23594867,23477310,23584827,23473105,23460072,23538355,23513300,23502523,23495921,23427294,23473101,23514189,23473426,23567352,23547668,23486524,23545448.52,,26733174,27036462,27400870,27443529,27336640,28046753,27910142,26934136,27891233,27969047,27834727,28112471,27993523,27875230,28153609,27892761,28125700,27891363,28029294,28175458,27989021
23805703,23855716,23426314,23686503,23579437,23596796,23479908,23596887,23482551,23466918,23541999,23515203,23509997,23498240,23435269,23481962,23522493,23487330,23568235,23547673,23498518,23551602.48,,26833146,27062648,27423668,27503220,27414454,28053357,27932472,26973740,27905066,27975778,27837317,28122010,28008874,27877687,28201497,27893767,28127193,27915328,28056110,28179368,28010743
23806046,23870957,23494347,23696170,23594910,23621615,23488848,23616604,23518131,23485652,23545428,23523982,23516013,23498477,23438582,23484753,23541826,23507999,23568415,23548583,23510054,23565590.1,,26905248,27072671,27464936,27504206,27628874,28056722,27938380,27028745,27923665,28009945,27839010,28122811,28015235,27909589,28208340,27911300,28128848,27932912,28087559,28189272,28078048
23814767,23874545,23497761,23700276,23610224,23636579,23488929,23620785,23519066,23486889,23554329,23524420,23525655,23502101,23451156,23490056,23547252,23512885,23595867,23572411,23512650,23573266.81,,26909726,27072675,27492683,27632684,27747132,28059239,27949180,27474913,27927904,28043070,27848895,28139179,28018875,27946252,28216390,27929163,28134240,27936647,28095766,28210365,28083085
23822410,23886492,23554530,23727640,23639971,23644797,23493817,23620940,23522164,23491071,23570522,23524795,23530933,23517294,23460697,23533539,23549246,23514927,23603438,23585647,23513741,23586124.33,,26913784,27084786,27532402,27665047,27801561,28063879,28006349,27555790,27948591,28053282,27852123,28142717,28027369,27995381,28238529,27934218,28135224,27947995,28149311,28223571,28083205
23833892,23891697,23591518,23735438,23652516,23658839,23521001,23630723,23524170,23506872,23587898,23525350,23546516,23553527,23473461,23539597,23597028,23550906,23618205,23589917,23517393,23602212.57,,26959481,27099765,27691262,27739520,27802943,28095975,28072056,27581365,27962471,28072106,27876043,28145469,28028202,28000839,28245277,28006567,28148557,27980715,28158075,28227833,28128586
23837983,23901288,23594139,23740521,23654084,23659883,23530676,23641792,23542477,23513301,23593784,23526914,23548292,23554884,23473509,23567741,23613219,23555334,23626192,23590567,23528701,23609299.1,,26965185,27331397,27820973,27790331,27874846,28104746,28072185,27620220,27991650,28110626,27888981,28175692,28030588,28010151,28247036,28012977,28167179,28008428,28166100,28238332,28149283
23839832,23903325,23602041,23763282,23681686,23660436,23543690,23647552,23558232,23567876,23594998,23528823,23550988,23558914,23473935,23569806,23616974,23557877,23639333,23598642,23556244,23619737.43,,26985392,27464179,27846348,27800430,27996252,28123150,28100722,27677177,27995364,28119885,27898096,28192531,28037366,28026957,28249535,28038391,28169689,28025830,28196142,28247488,28166866
23845661,23920188,23617803,23771087,23683655,23671441,23548339,23648450,23559281,23568749,23604577,23532324,23551996,23562624,23485252,23574067,23624562,23567466,23646854,23600846,23560436,23625983.71,,27129870,27509924,27878008,27808069,28018157,28129689,28108681,27706589,28019710,28120555,27899691,28203774,28039616,28035872,28266156,28043431,28171871,28061591,28210489,28255920,28178554
23860259,23922064,23625663,23773026,23691380,23683831,23554920,23648671,23570145,23580110,23622871,23537706,23554976,23567265,23487092,23589065,23625638,23581052,23657333,23611736,23568517,23633967.62,,27299657,27517600,27894192,27859115,28022393,28135155,28133567,27762669,28049101,28130237,27908694,28220096,28078867,28059215,28289475,28043911,28179499,28080251,28210793,28260861,28180613
23860638,23922079,23647012,23785205,23706211,23684044,23560169,23660581,23579986,23582099,23629572,23541264,23561842,23574430,23496388,23594390,23628890,23581270,23666922,23625522,23569204,23640843.71,,27299758,27563248,27932619,27869003,28030648,28138992,28137079,27782954,28050480,28139204,27930314,28225694,28090119,28059947,28290234,28044360,28183222,28080611,28218946,28268188,28200984
23867405,23925175,23650152,23788705,23724954,23692238,23562811,23668983,23591620,23591503,23631351,23551933,23570419,23585770,23500999,23594835,23629260,23583617,23671325,23626715,23580532,23647157.24,,27362231,27637590,27934510,27938160,28034946,28140391,28151110,27813992,28050561,28149147,27931487,28227204,28153801,28064828,28297520,28054139,28184510,28089145,28220980,28270824,28210591
23873444,23937151,23663140,23796807,23726225,23698034,23569377,23670275,23593675,23593557,23632658,23594962,23578423,23596831,23503601,23599020,23631413,23591796,23686395,23635923,23586462,23655198.52,,27448322,27661640,27955088,27953051,28036400,28149291,28154888,27839077,28063774,28152630,27945640,28227621,28156030,28077418,28308548,28064106,28190837,28089901,28240364,28272563,28215705
23881582,23989859,23668726,23810308,23739277,23709045,23569566,23686490,23598588,23598126,23633588,23599198,23579304,23596846,23504581,23599215,23636040,23602334,23691284,23649011,23598132,23663861.9,,27492261,27699062,27956269,28017548,28058311,28167547,28160044,27858745,28065397,28167902,27951809,28230499,28164751,28116743,28311543,28065094,28212716,28093492,28242745,28296946,28222319
