0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
27590466,27776873,27977314,28039452,28096092,28191568,28170251,27931445,28078372,28184752,28006517,28280631,28218515,28130261,28339041,28093173,28244321,28152462,28263661,28311733,28256001
27655684,27781381,28004140,28049319,28096455,28197571,28175042,27948822,28078644,28199788,28007006,28287193,28224631,28174401,28344570,28096004,28248387,28155346,28271538,28324808,28260206
27682253,27825133,28011804,28053995,28099952,28211856,28178098,27961619,28083828,28200815,28031957,28288307,28224819,28179348,28353149,28107372,28253656,28169236,28291333,28324947,28269826
27773552,27841408,28034434,28100301,28118189,28212754,28186311,27986286,28087676,28204951,28046830,28291310,28228561,28184144,28353297,28114664,28259626,28196968,28307240,28327140,28321004
27780507,27861789,28040680,28105010,28126301,28217323,28199071,28014678,28103070,28206573,28049449,28292758,28247775,28192910,28383489,28123504,28261193,28200348,28309788,28332155,28326043
27788855,27868030,28048925,28126270,28127431,28217456,28222755,28023915,28115005,28213965,28049987,28298655,28258288,28205857,28384870,28127391,28264758,28241949,28319306,28335286,28326583
27838089,27886187,28071696,28127717,28140294,28218238,28258797,28050545,28127129,28232309,28068791,28307226,28266770,28219908,28393362,28128004,28270391,28260113,28341687,28336854,28340004
27874201,27912151,28074837,28138016,28143054,28238774,28258987,28056004,28134335,28239948,28076760,28316668,28267172,28222295,28412598,28130505,28275772,28269296,28341837,28378791,28347301
27887293,27966516,28084555,28141935,28155968,28240944,28266809,28060644,28141013,28267917,28077912,28326449,28280316,28235581,28413133,28134580,28275970,28274924,28341925,28385100,28352967
27893150,27968045,28088245,28148755,28180494,28247523,28306497,28067061,28142842,28275674,28081128,28326504,28290494,28242055,28414444,28145718,28282810,28280219,28349389,28390901,28354446
27921273,27971156,28105622,28170152,28187909,28250440,28316972,28067097,28158336,28283213,28092161,28327584,28315069,28243157,28417249,28159031,28290319,28280714,28356653,28397951,28369208
27945343,27989895,28105755,28180446,28197730,28260681,28347375,28073699,28167290,28294531,28122274,28340993,28321868,28248682,28418415,28179407,28291250,28294245,28357182,28399671,28371903
27964975,27994676,28108156,28182357,28202879,28275435,28355513,28074275,28169494,28312987,28130723,28354289,28333162,28249594,28420376,28188177,28294988,28295351,28359503,28407743,28373853
27990563,28003434,28132581,28208967,28224401,28282190,28368529,28126374,28173043,28322173,28141106,28355435,28341215,28259657,28421657,28194311,28307361,28300513,28361719,28407810,28375012
28016797,28047762,28144677,28210306,28242749,28286960,28368584,28134375,28185121,28328941,28141799,28359027,28343216,28261216,28421853,28200263,28308385,28302835,28363758,28430941,28382193
28017007,28064847,28145037,28211413,28247856,28293762,28370908,28149959,28206823,28339153,28144283,28379147,28350898,28264861,28431741,28208485,28318350,28304001,28365202,28434126,28390396
28038023,28070433,28150795,28214643,28273990,28301893,28371538,28159138,28206962,28343704,28153484,28381324,28358491,28268807,28436425,28218698,28330027,28306996,28371841,28441190,28394571
28040748,28073628,28153430,28242312,28282681,28304587,28375470,28167303,28217922,28349784,28157933,28385473,28358535,28281565,28442390,28232014,28334286,28312338,28379413,28465257,28401997
28041677,28079181,28154756,28244682,28283945,28305133,28390745,28167492,28230617,28356157,28168733,28392636,28360796,28285171,28443461,28237230,28334768,28325084,28384203,28472693,28404658
28050953,28111463,28176579,28248441,28286136,28326687,28429000,28169344,28236220,28358295,28170701,28406616,28366772,28286497,28458159,28249688,28337912,28342675,28387648,28477562,28411556
28066760,28132066,28181186,28251460,28286451,28327528,28438259,28177258,28262881,28358544,28199045,28416121,28370923,28298768,28475040,28253717,28343225,28346161,28388358,28480406,28414825
28082471,28151050,28219267,28268167,28289312,28328765,28438539,28187316,28266328,28361142,28206189,28418254,28371929,28299040,28479803,28255084,28349752,28352728,28392458,28494617,28435840
28155298,28158367,28223043,28283823,28291831,28353218,28455477,28190159,28268113,28364127,28226809,28419101,28374569,28300349,28503167,28265342,28351492,28363663,28394320,28498044,28443585
28164861,28161739,28234167,28289461,28292423,28355504,28474929,28222593,28272967,28370755,28228218,28429641,28381555,28308194,28517785,28271330,28356865,28369426,28396299,28500078,28445742
28214359,28163151,28249189,28297905,28292839,28356234,28476520,28223904,28277267,28374391,28237047,28437793,28388162,28317611,28518461,28272329,28361861,28370437,28396396,28519579,28458397
28219926,28199959,28261185,28298062,28304964,28357106,28482122,28224158,28282567,28377626,28238230,28460124,28402614,28317727,28519961,28273257,28364792,28370619,28401269,28524929,28475538
28231395,28230056,28277173,28318169,28313458,28357865,28483094,28231066,28283031,28377777,28244413,28500342,28409596,28323571,28521102,28341237,28373492,28372483,28414216,28529491,28481805
28332689,28244885,28310615,28321331,28321221,28367054,28488994,28239239,28297194,28384013,28254096,28507603,28411183,28326682,28523569,28355661,28381086,28395570,28423410,28536761,28484802
28392602,28262491,28311567,28331615,28356329,28370372,28489325,28240124,28299264,28386281,28258260,28509339,28414960,28350129,28531396,28361595,28385349,28401512,28435465,28537101,28486156
28407387,28271101,28334516,28333105,28356408,28376170,28530918,28245420,28303294,28386621,28259574,28509645,28415126,28377249,28534948,28366281,28391839,28406485,28438354,28548715,28511596
28408081,28284328,28334701,28334696,28356668,28391925,28532047,28258059,28304981,28387774,28285876,28522254,28426543,28389643,28538468,28367720,28401650,28413843,28440883,28550653,28520513
28442285,28297711,28350877,28356044,28367478,28395181,28535836,28266922,28309090,28398117,28288562,28535155,28441956,28390175,28558207,28386719,28413634,28414328,28447349,28576725,28529634
28483084,28302406,28373105,28372348,28377342,28400802,28546614,28267678,28322558,28408160,28314791,28572475,28448691,28395457,28576115,28395897,28415627,28428877,28477383,28623048,28529763
28497733,28313804,28375461,28377949,28384134,28402594,28573317,28269616,28327153,28413104,28315796,28577493,28448771,28399043,28580367,28405694,28420055,28430916,28483149,28623170,28533065
28519087,28316748,28392843,28379666,28398990,28404167,28579773,28271312,28335984,28418252,28325888,28583290,28454983,28412018,28581027,28406219,28424517,28439026,28487773,28626635,28536128
28586565,28331547,28405126,28403364,28407824,28407358,28580529,28274523,28346743,28418926,28350661,28599490,28459368,28414347,28590540,28414773,28426602,28456016,28491087,28639065,28544289
28587542,28375524,28414888,28407407,28420720,28413329,28584741,28277541,28347259,28427623,28354457,28601630,28461334,28422128,28591843,28433235,28430252,28458170,28492290,28665838,28556238
28669436,28380967,28419715,28410364,28438768,28413600,28619084,28277823,28348523,28428315,28354541,28607162,28464630,28438981,28598667,28448823,28430563,28462450,28492706,28671831,28568532
28694189,28392444,28429768,28414359,28449289,28419666,28666627,28277864,28349535,28428658,28357776,28636757,28465149,28451225,28620212,28472039,28452392,28466818,28498957,28672157,28571108
28739328,28418048,28446127,28417302,28461859,28420722,28667101,28280772,28355960,28429584,28361096,28654420,28481029,28465028,28623321,28476448,28465346,28476981,28502566,28777994,28588199
28832313,28456253,28454065,28420500,28462300,28421926,28672164,28292798,28357404,28441876,28362970,28674465,28501496,28471037,28623835,28476502,28478000,28477055,28511128,28804640,28588719
28837958,28484724,28473318,28471388,28488619,28427210,28681263,28292824,28360385,28443825,28384285,28717795,28516403,28471757,28728024,28480647,28485390,28479932,28514103,28833112,28589218
28972671,28485116,28479981,28473041,28500185,28427610,28687991,28293695,28372406,28448518,28400038,28747978,28523202,28483783,28741745,28514284,28494441,28489359,28516302,28840878,28594786
29003707,28485577,28485146,28476525,28565168,28429180,28689878,28294773,28373349,28452297,28417100,28783824,28528396,28488410,28768946,28520120,28507148,28491058,28521481,28868190,28607941
29039957,28517117,28489058,28476566,28618389,28438689,28692914,28295014,28382926,28454472,28428231,28785064,28528543,28495407,28770735,28528453,28510564,28494320,28521922,28889148,28617797
29074107,28520594,28523542,28477982,28618842,28450391,28712545,28296957,28383292,28462798,28429736,28823392,28532211,28505253,28779179,28533370,28512999,28503892,28526380,28892499,28641353
29091350,28522421,28568201,28484585,28622298,28460549,28748067,28308816,28384692,28471441,28431307,28830253,28539072,28511908,28800402,28571792,28527475,28505978,28548086,28928893,28653574
29095963,28550737,28577017,28485912,28638364,28477795,28764792,28310616,28390357,28480608,28434136,28833832,28541044,28514057,28806690,28578022,28533965,28507055,28550991,28929519,28654548
29112422,28559056,28577838,28487398,28643098,28478527,28784328,28321710,28394075,28485928,28436052,28837012,28551943,28515458,28809987,28587594,28538477,28518058,28558546,28938664,28663811
29131347,28568717,28599469,28501428,28660805,28481867,28785765,28322544,28408285,28492271,28436806,28839728,28561335,28522575,28817670,28589800,28569138,28524720,28603429,28946668,28669268
29134797,28569032,28653045,28504944,28743470,28485843,28793707,28322884,28421156,28493721,28445908,28841630,28564435,28534983,28834512,28594363,28571306,28525285,28610715,28953118,28709309
29164676,28595799,28665537,28505699,28786016,28496823,28814398,28328370,28421265,28494136,28449275,28882052,28573032,28558856,28841275,28596106,28572313,28527003,28612587,28979648,28717797
29172490,28608773,28684155,28505860,28790542,28504440,28828907,28332124,28421776,28500942,28455129,28885226,28575214,28559490,28863913,28607347,28578938,28528719,28658419,28980634,28724308
29189175,28682770,28725987,28510831,28792118,28505789,28829863,28340122,28425844,28506691,28457684,28889297,28582017,28559828,28868048,28618597,28601824,28530958,28666432,28982671,28737231
29199561,28742096,28746534,28592430,28798909,28506864,28847199,28342635,28429571,28524672,28459843,28901363,28589547,28565286,28900123,28653451,28657086,28533409,28686854,28986425,28746672
29222478,28755914,28790042,28606507,28817550,28557648,28850437,28353346,28434561,28532268,28464583,28915040,28600288,28565622,28912950,28653958,28690843,28559062,28692039,28999065,28761284
29229313,28764389,28791431,28607695,28849100,28557791,28855199,28357063,28450972,28547819,28465306,28917832,28602560,28569460,28914363,28669421,28699060,28560319,28695350,29008796,28839928
29248187,28769221,28908942,28607751,28864858,28559647,28861227,28366056,28452195,28551134,28465898,28918675,28616502,28604678,28920059,28709032,28703435,28568182,28713882,29011365,28844795
29263867,28811830,28941410,28635378,28883507,28574594,28885469,28368731,28452411,28556871,28468261,28919718,28654655,28615111,28925711,28727466,28740185,28568642,28721005,29015847,28863669
29278547,28818760,28942112,28644989,28884073,28577298,28889355,28369812,28464827,28566888,28470120,28938544,28666789,28625644,28945437,28794756,28773178,28583771,28754479,29037234,28873040
29286492,28847480,28944298,28645147,28893740,28586284,28891370,28374718,28466882,28585945,28503025,28943683,28668642,28641425,28946481,28802081,28789530,28622792,28758770,29047299,28881234
29290440,28920081,28977297,28674212,28946011,28607040,28903782,28375846,28468576,28586294,28508383,28958646,28675291,28663028,28949274,28808516,28803073,28652300,28761674,29057244,28887824
